station_id,external_id,name,physical_configuration,lat,lon,altitude,address,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,rental_uris,post_code,is_valet_station,cross_street,_valet_station_details
7000,f8aa7900-e9c7-11ef-984e-124c66246c7d,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,,Fort York  Blvd / Capreol Ct,47,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'Fort York - Entertainment District']",647-643-9607,647-643-9607,500.0,True,{},,,,
7001,f8aaeb6e-e9c7-11ef-984e-124c66246c7d,Wellesley Station Green P,ELECTRICBIKESTATION,43.66496415990742,-79.38355031526893,,Yonge / Wellesley,23,True,"['key', 'transitcard', 'creditcard', 'phone']","['E-Charging ', 'South', 'Church Wellesley / Yorkville']",416-617-9576,416-617-9576,500.0,True,{},M4Y 1G7,,,
7002,f8aaef03-e9c7-11ef-984e-124c66246c7d,St. George St / Bloor St W,REGULAR,43.66713121831853,-79.3995550638237,,St. George St / Bloor St W,19,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'U of T - Hospital Row']",647-643-9615,647-643-9615,500.0,True,{},,,,
7003,f8ab20ac-e9c7-11ef-984e-124c66246c7d,Madison Ave / Bloor St W,REGULAR,43.66701830465472,-79.4027958687172,,Madison Ave / Bloor St W,15,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'Bloor St W / Annex']",647-631-4587,647-631-4587,500.0,True,{},,,,
7005,f8ab51f8-e9c7-11ef-984e-124c66246c7d,King St W / York St,VAULT,43.6480008,-79.383177,0.0,King St W / York St,23,False,"['key', 'transitcard', 'phone']","['South', 'Financial District']",647-643-9693,647-643-9693,500.0,True,{},,,,
7006,f8ab54c0-e9c7-11ef-984e-124c66246c7d,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,,Bay St / College St (East Side),31,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'U of T - Hospital Row']",416-569-2349,416-569-2349,500.0,True,{},,False,,
7007,f8ab576d-e9c7-11ef-984e-124c66246c7d,College St / Huron St,REGULAR,43.658148,-79.398167,,College St / Huron St,19,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'U of T - Hospital Row']",647-625-3582,647-625-3582,500.0,True,{},,,,
7008,f8ab5a3f-e9c7-11ef-984e-124c66246c7d,Wellesley St W / Queen's Park Cres,REGULAR,43.663376,-79.392125,,Wellesley St W / Queen's Park Cres,19,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'U of T - Hospital Row']",647-643-9648,647-643-9648,500.0,True,{},,,,
7010,f8ab5fcc-e9c7-11ef-984e-124c66246c7d,King St W / Spadina Ave,REGULAR,43.64514249449372,-79.39510358283808,,King St W / Spadina Ave,19,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'Fort York - Entertainment District']",647-202-6537,647-202-6537,500.0,True,{},,,,
7013,f8ab675c-e9c7-11ef-984e-124c66246c7d,Scott St / The Esplanade,REGULAR,43.64659663170443,-79.37530913867988,0.0,Scott St / The Esplanade,19,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'Financial District']",416-666-6440,416-666-6440,500.0,True,{},M5E 1Z4,,,
7014,f8ab69cf-e9c7-11ef-984e-124c66246c7d,Sherbourne St / Carlton St (Allan Gardens),REGULAR,43.663102,-79.373181,,Sherbourne St / Carlton St (Allan Gardens),17,False,"['key', 'transitcard', 'creditcard', 'phone']","['East', 'Church Wellesley / Yorkville']",416-710-6764,416-710-6764,500.0,True,{},,,,
7015,f8ab6c2a-e9c7-11ef-984e-124c66246c7d,King St W / Bay St (West Side),REGULAR,43.64852,-79.380576,,King St W / Bay St (West Side),39,False,"['key', 'transitcard', 'creditcard', 'phone']","['Valet Stations', 'South', 'Financial District']",416-671-7595,416-671-7595,500.0,True,{},,False,,
7016,f8ab6eb0-e9c7-11ef-984e-124c66246c7d,Bay St / Queens Quay W (Ferry Terminal),REGULAR,43.640978,-79.376785,,Bay St / Queens Quay W (Ferry Terminal),35,False,"['key', 'transitcard', 'creditcard', 'phone']","['South', 'Watefront']",647-271-1378,647-271-1378,500.0,True,{},M5J,False,,
